Download,Upload,Ping,Timestamp
14.33,11.36,19.74,15:33
13.86,11.19,26.12,15:33
14.87,11.48,19.12,15:33
14.64,8.06,38.05,15:34
13.07,11.93,19.79,15:34
9.79,11.75,31.53,15:35
10.97,9.92,23.29,15:35
6.94,7.38,29.75,15:35
